Region,Province,Name,km,basis,billable_over_30km,flag
NCR,N/A,"Parañaque",6,city_hall,no,""
NCR,N/A,"Muntinlupa",9,city_hall,no,""
NCR,N/A,"Taguig",9,city_hall,no,""
NCR,N/A,"Las Piñas",12,city_hall,no,""
NCR,N/A,"Pasay City",12,city_hall,no,""
NCR,N/A,"Pateros",12,municipal_hall,no,""
NCR,N/A,"Makati",14,city_hall,no,""
NCR,N/A,"Mandaluyong",15,city_hall,no,""
NCR,N/A,"Manila",16,city_hall,no,""
NCR,N/A,"Pasig",16,city_hall,no,""
NCR,N/A,"San Juan",20,city_hall,no,""
NCR,N/A,"Quezon City",23,city_hall,no,""
NCR,N/A,"Caloocan",24,city_hall,no,""
NCR,N/A,"Marikina",24,city_hall,no,""
NCR,N/A,"Malabon",26,city_hall,no,""
NCR,N/A,"Navotas",26,city_hall,no,""
NCR,N/A,"Valenzuela",28,city_hall,no,""
III,Bulacan,"Meycauayan",34,city_hall,yes,""
III,Bulacan,"Obando",34,municipal_hall,yes,""
III,Bulacan,"Marilao",39,municipal_hall,yes,""
III,Bulacan,"Bocaue",42,municipal_hall,yes,""
III,Bulacan,"Balagtas",46,municipal_hall,yes,""
III,Bulacan,"Bulacan",46,municipal_hall,yes,""
III,Bulacan,"Santa Maria",46,municipal_hall,yes,""
III,Bulacan,"Guiguinto",48,municipal_hall,yes,""
III,Bulacan,"San Jose Del Monte",50,city_hall,yes,""
III,Bulacan,"Pandi",51,municipal_hall,yes,""
III,Bulacan,"Plaridel",56,municipal_hall,yes,""
III,Bulacan,"Malolos",57,city_hall,yes,""
III,Bulacan,"Pulilan",59,municipal_hall,yes,""
III,Bulacan,"Paombong",60,municipal_hall,yes,""
III,Bulacan,"Norzagaray",62,municipal_hall,yes,""
III,Bulacan,"Bustos",63,municipal_hall,yes,""
III,Bulacan,"Baliwag",65,city_hall,yes,""
III,Bulacan,"Calumpit",65,municipal_hall,yes,""
III,Bulacan,"Angat",66,municipal_hall,yes,""
III,Bulacan,"Hagonoy",67,municipal_hall,yes,""
III,Bulacan,"San Rafael",70,municipal_hall,yes,""
III,Pampanga,"Apalit",71,municipal_hall,yes,""
III,Pampanga,"San Simon",73,municipal_hall,yes,""
III,Bulacan,"Doña Remedios Trinidad",75,municipal_hall,yes,""
III,Pampanga,"Macabebe",77,municipal_hall,yes,""
III,Pampanga,"Masantol",77,municipal_hall,yes,""
III,Bulacan,"San Ildefonso",77,municipal_hall,yes,""
III,Pampanga,"Sto. Tomas",80,municipal_hall,yes,""
III,Pampanga,"San Fernando",81,city_hall,yes,""
III,Pampanga,"Minalin",85,municipal_hall,yes,""
III,Pampanga,"Santa Ana",85,municipal_hall,yes,""
III,Pampanga,"San Luis",86,municipal_hall,yes,""
III,Bulacan,"San Miguel",86,municipal_hall,yes,""
III,Pampanga,"Bacolor",88,municipal_hall,yes,""
III,Pampanga,"Mexico",88,municipal_hall,yes,""
III,Pampanga,"Santa Rita",92,municipal_hall,yes,""
III,Pampanga,"Arayat",94,municipal_hall,yes,""
III,Pampanga,"Guagua",94,municipal_hall,yes,""
III,Pampanga,"Candaba",95,municipal_hall,yes,""
III,Pampanga,"Lubao",98,municipal_hall,yes,""
III,Pampanga,"Sasmuan",100,municipal_hall,yes,""
III,Pampanga,"Angeles City",103,city_hall,yes,""
III,Pampanga,"Floridablanca",103,municipal_hall,yes,""
III,Pampanga,"Porac",104,municipal_hall,yes,""
III,Pampanga,"Magalang",105,municipal_hall,yes,""
III,Pampanga,"Mabalacat City",113,city_hall,yes,""
IV-A,Laguna,"San Pedro",13,city_hall,no,""
IV-A,Rizal,"Taytay",16,municipal_hall,no,""
IV-A,Cavite,"Bacoor",18,city_hall,no,""
IV-A,Rizal,"Cainta",19,municipal_hall,no,""
IV-A,Cavite,"Imus",19,city_hall,no,""
IV-A,Rizal,"Angono",20,municipal_hall,no,""
IV-A,Laguna,"Biñan",21,city_hall,no,""
IV-A,Cavite,"Carmona",21,city_hall,no,""
IV-A,Laguna,"Santa Rosa",21,city_hall,no,""
IV-A,Rizal,"Antipolo",23,city_hall,no,""
IV-A,Cavite,"Kawit",23,municipal_hall,no,""
IV-A,Cavite,"Gen. Mariano Alvarez",24,municipal_hall,no,""
IV-A,Laguna,"Cabuyao",26,city_hall,no,""
IV-A,Cavite,"Dasmariñas",26,city_hall,no,""
IV-A,Cavite,"Noveleta",26,municipal_hall,no,""
IV-A,Rizal,"Binangonan",27,municipal_hall,no,""
IV-A,Cavite,"Rosario (Cavite)",28,municipal_hall,no,""
IV-A,Cavite,"Tanza",29,municipal_hall,no,""
IV-A,Rizal,"Teresa",30,municipal_hall,no,""
IV-A,Rizal,"San Mateo",31,municipal_hall,yes,""
IV-A,Rizal,"Cardona",32,municipal_hall,yes,""
IV-A,Cavite,"Cavite",33,city_hall,yes,""
IV-A,Cavite,"General Trias",33,city_hall,yes,""
IV-A,Rizal,"Morong",36,municipal_hall,yes,""
IV-A,Laguna,"Calamba",37,city_hall,yes,""
IV-A,Rizal,"Rodriguez",37,municipal_hall,yes,""
IV-A,Cavite,"Silang",38,municipal_hall,yes,""
IV-A,Rizal,"Baras",42,municipal_hall,yes,""
IV-A,Cavite,"Naic",42,municipal_hall,yes,""
IV-A,Cavite,"Trece Martires",42,city_hall,yes,""
IV-A,Laguna,"Los Baños",44,municipal_hall,yes,""
IV-A,Rizal,"Tanay",44,municipal_hall,yes,""
IV-A,Batangas,"Sto. Tomas",46,city_hall,yes,""
IV-A,Rizal,"Pililla",48,municipal_hall,yes,""
IV-A,Batangas,"Tanauan",50,city_hall,yes,""
IV-A,Cavite,"Ternate",50,municipal_hall,yes,""
IV-A,Cavite,"Amadeo",51,municipal_hall,yes,""
IV-A,Laguna,"Bay",51,municipal_hall,yes,""
IV-A,Batangas,"Malvar",53,municipal_hall,yes,""
IV-A,Cavite,"Maragondon",53,municipal_hall,yes,""
IV-A,Laguna,"Calauan",56,municipal_hall,yes,""
IV-A,Cavite,"Indang",56,municipal_hall,yes,""
IV-A,Batangas,"Talisay",56,municipal_hall,yes,""
IV-A,Cavite,"Tagaytay",57,city_hall,yes,""
IV-A,Cavite,"Mendez",58,municipal_hall,yes,""
IV-A,Laguna,"Alaminos",59,municipal_hall,yes,""
IV-A,Rizal,"Jala-Jala",62,municipal_hall,yes,""
IV-A,Batangas,"Balete",63,municipal_hall,yes,""
IV-A,Batangas,"Lipa",64,city_hall,yes,""
IV-A,Laguna,"Pila",64,municipal_hall,yes,""
IV-A,Laguna,"Victoria",64,municipal_hall,yes,""
IV-A,Cavite,"Alfonso",66,municipal_hall,yes,""
IV-A,Batangas,"Laurel",67,municipal_hall,yes,""
IV-A,Laguna,"Mabitac",68,municipal_hall,yes,""
IV-A,Laguna,"San Pablo",68,city_hall,yes,""
IV-A,Cavite,"Magallanes",70,municipal_hall,yes,""
IV-A,Laguna,"Santa Maria",71,municipal_hall,yes,""
IV-A,Laguna,"Famy",72,municipal_hall,yes,""
IV-A,Batangas,"Mataasnakahoy",72,municipal_hall,yes,""
IV-A,Cavite,"General Emilio Aguinaldo",73,municipal_hall,yes,""
IV-A,Laguna,"Nagcarlan",73,municipal_hall,yes,""
IV-A,Laguna,"Santa Cruz",73,municipal_hall,yes,""
IV-A,Laguna,"Siniloan",73,municipal_hall,yes,""
IV-A,Laguna,"Pagsanjan",75,municipal_hall,yes,""
IV-A,Quezon,"Dolores",77,municipal_hall,yes,""
IV-A,Laguna,"Liliw",77,municipal_hall,yes,""
IV-A,Laguna,"Pangil",77,municipal_hall,yes,""
IV-A,Laguna,"Pakil",79,municipal_hall,yes,""
IV-A,Laguna,"Magdalena",80,municipal_hall,yes,""
IV-A,Batangas,"Padre Garcia",80,municipal_hall,yes,""
IV-A,Batangas,"Cuenca",81,municipal_hall,yes,""
IV-A,Batangas,"Ibaan",81,municipal_hall,yes,""
IV-A,Laguna,"Rizal",81,municipal_hall,yes,""
IV-A,Batangas,"San Jose",81,municipal_hall,yes,""
IV-A,Quezon,"Tiaong",81,municipal_hall,yes,""
IV-A,Laguna,"Paete",82,municipal_hall,yes,""
IV-A,Laguna,"Majayjay",83,municipal_hall,yes,""
IV-A,Quezon,"San Antonio",83,municipal_hall,yes,""
IV-A,Laguna,"Cavinti",84,municipal_hall,yes,""
IV-A,Batangas,"Rosario (Batangas)",84,municipal_hall,yes,""
IV-A,Batangas,"Calaca",86,city_hall,yes,""
IV-A,Laguna,"Kalayaan",86,municipal_hall,yes,""
IV-A,Laguna,"Lumban",90,municipal_hall,yes,""
IV-A,Quezon,"Candelaria",92,municipal_hall,yes,""
IV-A,Batangas,"Batangas City",93,city_hall,yes,""
IV-A,Laguna,"Luisiana",93,municipal_hall,yes,""
IV-A,Batangas,"Lemery",94,municipal_hall,yes,""
IV-A,Quezon,"Lucban",94,municipal_hall,yes,""
IV-A,Batangas,"San Pascual",94,municipal_hall,yes,""
IV-A,Batangas,"Taal",95,municipal_hall,yes,""
IV-A,Batangas,"Tuy",95,municipal_hall,yes,""
IV-A,Batangas,"Taysan",96,municipal_hall,yes,""
IV-A,Batangas,"Agoncillo",97,municipal_hall,yes,""
IV-A,Batangas,"Lian",97,municipal_hall,yes,""
IV-A,Batangas,"San Luis",97,municipal_hall,yes,""
IV-A,Batangas,"Nasugbu",99,municipal_hall,yes,""
IV-A,Batangas,"San Juan",100,municipal_hall,yes,""
IV-A,Batangas,"San Nicolas",100,municipal_hall,yes,""
IV-A,Batangas,"Santa Teresita",101,municipal_hall,yes,""
IV-A,Batangas,"Balayan",103,municipal_hall,yes,""
IV-A,Batangas,"Alitagtag",104,municipal_hall,yes,""
IV-A,Quezon,"Sariaya",106,municipal_hall,yes,""
IV-A,Quezon,"Tayabas",109,city_hall,yes,""
IV-A,Batangas,"Bauan",111,municipal_hall,yes,""
IV-A,Quezon,"Sampaloc",111,municipal_hall,yes,""
IV-A,Quezon,"Lucena",119,city_hall,yes,""
IV-A,Batangas,"Mabini",119,municipal_hall,yes,""
IV-A,Batangas,"Calatagan",122,municipal_hall,yes,""
IV-A,Batangas,"Lobo",124,municipal_hall,yes,""
IV-A,Quezon,"Mauban",124,municipal_hall,yes,""
IV-A,Quezon,"Pagbilao",125,municipal_hall,yes,""
IV-A,Quezon,"Infanta",126,municipal_hall,yes,""
IV-A,Quezon,"Real",127,municipal_hall,yes,""
IV-A,Quezon,"Padre Burgos",152,municipal_hall,yes,""
IV-A,Quezon,"Atimonan",158,municipal_hall,yes,""
IV-A,Quezon,"Agdangan",167,municipal_hall,yes,""
IV-A,Quezon,"Plaridel",170,municipal_hall,yes,""
IV-A,Quezon,"Unisan",176,municipal_hall,yes,""
IV-A,Quezon,"Gumaca",181,municipal_hall,yes,""
IV-A,Quezon,"Pitogo",197,municipal_hall,yes,""
IV-A,Quezon,"Lopez",201,municipal_hall,yes,""
IV-A,Quezon,"Macalelon",205,municipal_hall,yes,""
IV-A,Quezon,"Quezon",207,plain_name (hall rejected),yes,"hall returned 924km vs 207km — AMBIGUOUS NAME, verify"
IV-A,Quezon,"General Luna",214,municipal_hall,yes,""
IV-A,Quezon,"Buenavista",234,municipal_hall,yes,""
